epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8088,2.13103,4.01536,1.74422,0.00121,0.15385,0.00072,0.00043,1.33666,4.10073,1.5191,4e-05,4e-05,4e-05
2,35.6182,1.73805,4.00762,1.54569,0.00364,0.46154,0.00313,0.00173,1.22866,4.0034,1.41676,9.802e-05,9.802e-05,9.802e-05
3,50.5625,1.3157,3.50494,1.29824,0.00697,0.88462,0.01089,0.0061,1.24196,3.84256,1.27892,0.000153664,0.000153664,0.000153664
4,64.8887,1.42502,3.37859,1.27167,0.00788,1,0.01838,0.01023,1.15988,3.67599,1.19163,0.000206932,0.000206932,0.000206932
5,80.2786,1.24128,2.72762,1.17031,0.00788,1,0.01797,0.00983,1.2404,3.54915,1.17112,0.000257824,0.000257824,0.000257824
6,95.295,1.33051,2.63746,1.31557,0.00788,1,0.02746,0.01359,1.24423,3.558,1.20347,0.00030634,0.00030634,0.00030634
7,110.297,1.32092,2.22621,1.17156,0.00788,1,0.01952,0.00897,1.21646,3.66317,1.23917,0.00035248,0.00035248,0.00035248
8,124.525,1.12734,1.89779,1.0701,0.00788,1,0.0214,0.00832,1.30415,3.6239,1.23433,0.000396244,0.000396244,0.000396244
9,139.477,1.20793,2.02667,1.16713,0.00788,1,0.06806,0.01591,1.32626,3.54812,1.24446,0.000437632,0.000437632,0.000437632
10,153.832,1.15848,1.74786,1.10629,0.00788,1,0.09738,0.02425,1.25158,3.47361,1.20419,0.000476644,0.000476644,0.000476644
11,167.88,1.12301,1.64369,1.07656,0.00727,0.92308,0.01507,0.00662,1.25607,3.69611,1.27405,0.00051328,0.00051328,0.00051328
12,181.984,1.19028,1.85158,1.09682,0.00697,0.88462,0.01112,0.00556,1.2128,3.80629,1.29392,0.00054754,0.00054754,0.00054754
13,195.903,1.20294,1.58769,1.07538,0.00697,0.88462,0.01327,0.00636,1.20606,3.61409,1.22436,0.000579424,0.000579424,0.000579424
14,210.212,1.18981,1.41303,1.13306,0.00697,0.88462,0.01377,0.00655,1.14839,3.63222,1.22409,0.000608932,0.000608932,0.000608932
15,224.342,1.08423,1.63236,1.07566,0.00667,0.84615,0.01161,0.00648,1.13814,3.68401,1.22544,0.000636064,0.000636064,0.000636064
16,238.167,0.96757,1.55059,0.96742,0.00576,0.73077,0.00829,0.00484,1.20053,3.77509,1.28899,0.00066082,0.00066082,0.00066082
17,252.105,1.11017,1.38713,1.0552,0.00515,0.65385,0.00529,0.00313,1.23802,3.9605,1.34398,0.0006832,0.0006832,0.0006832
18,266.312,1.01164,1.3599,1.02729,0.00515,0.65385,0.00586,0.0027,1.27828,4.02418,1.38235,0.000703204,0.000703204,0.000703204
19,280.555,1.06072,1.42647,1.05483,0.00576,0.73077,0.00743,0.00379,1.3127,3.7925,1.30924,0.000720832,0.000720832,0.000720832
20,300.621,1.12111,1.25968,1.07496,0.00636,0.80769,0.15803,0.09942,1.29822,3.4396,1.22524,0.000736084,0.000736084,0.000736084
21,316.781,0.98638,1.23784,1.0261,0.00667,0.84615,0.25926,0.1637,1.29184,3.34317,1.21856,0.00074896,0.00074896,0.00074896
22,330.494,1.07803,1.43143,1.1131,0.00727,0.92308,0.30761,0.1919,1.19867,3.22316,1.18667,0.00075946,0.00075946,0.00075946
23,344.273,0.98063,1.28384,1.06314,0.79714,0.30273,0.40417,0.23653,1.25787,3.07844,1.19832,0.000767584,0.000767584,0.000767584
24,359.014,0.99971,1.31415,1.08825,0.64812,0.28415,0.40523,0.26122,1.1509,2.92328,1.16726,0.000773332,0.000773332,0.000773332
25,373.045,0.96572,1.23034,1.04571,0.13775,0.26923,0.13498,0.08728,1.10546,3.03196,1.15242,0.000776704,0.000776704,0.000776704
26,387.242,0.98073,1.37406,1.06193,0.00827,0.69231,0.02065,0.01062,1.29367,3.26672,1.28804,0.0007777,0.0007777,0.0007777
27,400.873,0.94337,1.17142,1.00068,0.00727,0.92308,0.0172,0.00891,1.36651,3.35348,1.33884,0.00077632,0.00077632,0.00077632
28,414.992,0.98378,1.33075,1.03545,0.00606,0.76923,0.01486,0.0083,1.4186,3.47788,1.37111,0.000772564,0.000772564,0.000772564
29,429.263,0.94663,1.1313,1.00911,0.00606,0.76923,0.01486,0.0083,1.4186,3.47788,1.37111,0.000766432,0.000766432,0.000766432
30,442.978,1.02212,1.24797,1.0445,0.00697,0.88462,0.24441,0.15843,1.33023,3.30085,1.2864,0.000757924,0.000757924,0.000757924
31,457.03,1.02769,1.21299,1.01519,1,0.18795,0.35442,0.20889,1.33156,3.16468,1.25934,0.00074704,0.00074704,0.00074704
32,470.792,0.97827,1.39283,1.04255,1,0.13389,0.27323,0.14182,1.3719,3.23639,1.32732,0.00073378,0.00073378,0.00073378
33,484.916,0.95827,1.23497,0.99367,1,0.13389,0.27323,0.14182,1.3719,3.23639,1.32732,0.000718144,0.000718144,0.000718144
34,499.088,0.91639,1.24224,1.00431,0.60623,0.19231,0.31728,0.15095,1.42316,3.31459,1.39859,0.0006932,0.0006932,0.0006932
35,513.2,0.96749,1.2735,1.03806,0.81954,0.17639,0.3949,0.17339,1.38413,3.08258,1.35224,0.0006536,0.0006536,0.0006536
36,527.761,0.93822,1.05508,1.00373,0.84724,0.42688,0.64863,0.38238,1.13422,2.60117,1.1365,0.000614,0.000614,0.000614
37,544.767,0.94467,1.07671,0.96082,0.84724,0.42688,0.64863,0.38238,1.13422,2.60117,1.1365,0.0005744,0.0005744,0.0005744
38,560.928,0.8739,1.0526,0.98888,0.88622,0.59967,0.7358,0.49935,1.02589,2.27754,1.09439,0.0005348,0.0005348,0.0005348
39,575.915,0.85053,1.03089,0.98421,0.83366,0.57835,0.76114,0.49559,1.03676,2.11873,1.11265,0.0004952,0.0004952,0.0004952
40,590.74,0.94285,1.36284,1.05581,0.88335,0.58277,0.74479,0.48404,1.07594,2.19797,1.12502,0.0004556,0.0004556,0.0004556
41,605.24,0.81145,1.13881,0.98312,0.88335,0.58277,0.74479,0.48404,1.07594,2.19797,1.12502,0.000416,0.000416,0.000416
42,620.022,0.87114,1.18437,0.94609,0.91795,0.53846,0.70517,0.46103,1.13256,2.3119,1.15089,0.0003764,0.0003764,0.0003764
43,634.148,0.88396,1.23649,1.01378,1,0.55061,0.67549,0.43577,1.18048,2.43279,1.19387,0.0003368,0.0003368,0.0003368
44,648.254,0.89731,1.16512,1.0165,1,0.53387,0.66471,0.44645,1.18545,2.4503,1.18711,0.0002972,0.0002972,0.0002972
45,665.392,0.79807,1.11286,0.92426,1,0.53387,0.66471,0.44645,1.18545,2.4503,1.18711,0.0002576,0.0002576,0.0002576
46,687.319,0.6615,1.00607,0.91088,1,0.57093,0.70919,0.47914,1.172,2.30429,1.17603,0.000218,0.000218,0.000218
47,701.74,0.83669,1.12136,0.95758,1,0.62324,0.77611,0.51102,1.15813,2.09227,1.16217,0.0001784,0.0001784,0.0001784
48,715.582,0.78047,1.05033,0.97322,0.96639,0.61538,0.8326,0.55471,1.1398,1.90853,1.15501,0.0001388,0.0001388,0.0001388
49,729.052,0.74838,0.98667,0.93389,0.96639,0.61538,0.8326,0.55471,1.1398,1.90853,1.15501,9.92e-05,9.92e-05,9.92e-05
50,742.503,0.73558,0.92868,0.94515,1,0.6525,0.84891,0.56586,1.12439,1.7921,1.15216,5.96e-05,5.96e-05,5.96e-05
